ID;erasmus;sex;age;nationality;work_method;study;job;;;;
1;1;1;2;3;1;2;2;;;;
2;2;1;3;5;2;2;1;;;;
3;2;1;3;5;1;1;3;;;;
4;1;1;3;1;1;2;2;;;;
5;1;1;3;7;1;2;1;;;;
6;1;1;2;5;1;4;4;;;;
7;2;3;2;1;2;1;3;;;;
8;2;1;2;1;2;1;4;;;;
9;2;1;3;5;2;1;3;;;;
10;2;1;2;4;1;1;3;;;;
11;2;1;3;6;2;1;3;;;;
12;1;1;2;1;2;2;4;;;;
13;2;1;3;5;1;1;4;;;;
14;2;1;3;5;2;1;1;;;;
15;1;1;2;5;1;1;1;;;;
16;1;1;2;1;1;2;4;;;;
17;1;1;2;1;1;2;2;;;;
18;1;1;3;5;1;2;1;;;;
19;1;1;2;1;2;1;2;;;;
20;1;1;2;1;1;3;3;;;;
21;1;1;;;;;;;;;
22;1;1;;;;;;;;;
23;1;1;;;;;;;;;
24;1;1;;;;;;;;;
25;1;2;;;;;;;;;
26;1;1;;;;;;;;;
27;1;2;;;;;;;;;
28;2;1;;;;;;;;;
29;2;1;;;;;;;;;
30;1;1;;;;;;;;;
31;2;1;;;;;;;;;
32;1;1;;;;;;;;;
33;2;1;;;;;;;;;
34;1;1;;;;;;;;;
35;1;1;;;;;;;;;
36;1;1;;;;;;;;;
37;1;1;;;;;;;;;
38;1;1;;;;;;;;;
39;2;1;;;;;;;;;